,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
56,-137.04614,-201.7734,-232.10901,-238.99979,-290.72598,-140.63019,-216.46461,-259.88837,-277.78452,-249.16129,-173.42302,-234.50516,-228.22607,-332.21762,-270.1284
57,-158.51009,-183.78445,-307.28256,-267.60623,-297.7476,-120.24153,-265.1778,-252.40448,-242.96457,-306.00925,-148.80643,-205.27008,-328.8488,-244.24057,-323.78543
58,-152.98659,-206.61702,-253.66606,-228.5001,-261.23065,-167.81184,-206.65875,-226.73233,-356.39108,-248.95949,-163.31099,-156.01854,-246.79341,-300.875,-304.98663
59,-137.48439,-162.42087,-238.81944,-315.5,-295.63797,-150.744,-210.78534,-219.43889,-243.25597,-248.4864,-127.32102,-206.7986,-224.94086,-256.69003,-292.21042
60,-162.79355,-208.25967,-234.63615,-250.7677,-252.91841,-158.43704,-174.99557,-268.39114,-274.12225,-280.1435,-154.47841,-162.61275,-201.60992,-270.21548,-272.774
61,-154.38287,-217.75905,-248.92345,-244.0442,-277.1076,-163.98962,-183.16107,-267.35162,-287.58865,-357.49597,-156.73543,-225.23584,-276.44525,-329.11258,-236.95303
62,-157.57077,-178.52686,-287.2342,-305.33334,-308.891,-128.76591,-159.45006,-253.4547,-270.51703,-275.4982,-166.81767,-230.8317,-242.86407,-259.1987,-319.05048
63,-134.56099,-181.88313,-232.66008,-268.02878,-238.69325,-147.10374,-232.13289,-255.03464,-303.32416,-283.63165,-131.27113,-198.48285,-245.1331,-254.8914,-251.83778
64,-166.14609,-208.97966,-223.44899,-269.9032,-284.97073,-131.60023,-198.98775,-209.90382,-240.30809,-269.90216,-112.76173,-180.72511,-181.68205,-269.16504,-278.47968
65,-154.0619,-234.62732,-214.49414,-261.41653,-323.60638,-138.53647,-175.01912,-238.60086,-250.36034,-240.84613,-160.2637,-207.93433,-247.36328,-250.49539,-267.57928
66,-166.8335,-172.06412,-253.77835,-236.98077,-286.44104,-120.965904,-188.15326,-259.30957,-219.48312,-299.61276,-165.10493,-200.42726,-246.5196,-252.98845,-259.6799
67,-157.935,-192.35846,-222.51952,-210.2973,-271.10608,-154.17546,-243.293,-250.68858,-268.05975,-228.30447,-147.42076,-188.5435,-233.78348,-279.38446,-280.63477
68,-144.95047,-181.06541,-254.56963,-320.04468,-276.89148,-149.9373,-207.31128,-257.9986,-218.96393,-310.16135,-137.68738,-183.22287,-252.46692,-220.76036,-253.94513
69,-143.7331,-182.88847,-276.07303,-250.29509,-327.93777,-152.5284,-184.69472,-223.7622,-243.54655,-264.33987,-165.63202,-158.71977,-229.99365,-281.60385,-262.5701
70,-125.81702,-190.61569,-249.00311,-266.58682,-257.69202,-150.97153,-199.91748,-235.82585,-268.82083,-280.11478,-123.24137,-147.36938,-239.0933,-266.74503,-285.82407
71,-119.636566,-148.86314,-223.23676,-275.507,-302.22244,-129.77942,-210.64983,-322.75067,-250.3509,-286.19827,-152.52615,-198.82889,-241.67436,-285.0913,-303.46402
72,-140.09793,-145.81639,-245.92912,-243.68324,-283.14633,-116.54374,-162.55762,-193.25575,-334.39362,-299.23166,-135.00945,-174.14375,-263.14334,-266.74118,-267.09644
73,-107.903496,-175.97083,-245.7351,-236.4057,-304.71542,-117.83912,-193.84392,-248.33633,-301.75198,-286.3829,-147.70616,-154.1037,-207.7749,-298.77374,-258.15152
74,-140.9196,-221.69225,-243.84438,-250.28983,-254.92813,-151.23676,-193.2318,-221.20737,-258.06686,-230.01244,-144.40367,-189.8047,-233.91243,-280.93356,-288.535
75,-146.14359,-182.73386,-211.01219,-222.81429,-239.80339,-122.372086,-147.63455,-294.34918,-257.49142,-280.946,-131.54855,-215.36005,-244.35223,-232.405,-241.84196
76,-142.89502,-163.73201,-288.70197,-264.21332,-312.38483,-151.35512,-170.1199,-229.21413,-257.47247,-250.94817,-131.75748,-182.0476,-213.62633,-283.53564,-263.9138
77,-154.05507,-160.76242,-193.94482,-272.30704,-232.36272,-117.66933,-234.09273,-267.61725,-276.66666,-230.70737,-127.92821,-231.58987,-293.23007,-233.77945,-249.99188
78,-155.74425,-145.5404,-226.01291,-240.811,-274.67825,-144.09677,-180.12547,-207.4976,-267.91464,-262.07623,-139.98035,-158.53044,-264.17673,-241.97746,-270.83374
79,-137.23897,-192.45654,-304.25116,-231.09264,-282.14233,-136.24762,-177.53223,-229.6879,-239.55884,-257.3854,-135.17699,-171.75488,-238.36917,-206.1656,-247.77612
80,-132.9211,-157.94705,-255.02545,-213.74841,-233.63403,-128.35286,-160.44029,-180.62184,-227.99841,-255.12503,-136.04872,-174.57657,-214.39421,-241.82208,-227.27829
81,-145.92726,-157.17624,-188.84639,-243.70848,-244.76053,-136.838,-235.60638,-204.18655,-239.42796,-243.17732,-141.84348,-220.89723,-236.18996,-239.62044,-309.034
82,-150.37209,-161.72682,-160.6315,-221.90652,-244.60742,-139.75961,-167.84589,-189.05368,-275.0347,-237.86623,-131.37547,-173.34712,-268.45108,-277.54855,-247.25089
83,-141.95308,-151.87001,-224.69247,-280.64682,-269.03958,-138.74751,-199.92522,-260.60806,-286.98114,-291.26154,-119.58815,-199.97142,-235.76932,-254.44957,-265.9337
84,-128.96039,-192.86824,-253.87894,-218.88704,-248.55638,-111.10006,-172.36717,-172.71468,-267.4696,-295.651,-135.02504,-163.77582,-291.65567,-311.45068,-275.78577
85,-117.72256,-153.13211,-262.89053,-297.78918,-268.04883,-128.83209,-207.39127,-172.03516,-291.447,-256.80087,-137.92937,-176.54326,-189.32903,-189.25963,-297.27277
86,-128.43504,-196.17073,-172.2181,-243.4258,-236.33672,-128.61002,-163.94313,-238.49794,-248.16495,-298.68405,-98.69588,-179.0626,-264.5156,-244.81055,-213.36983
87,-91.204124,-218.51483,-171.84445,-249.53185,-286.40073,-128.39522,-182.96558,-222.36957,-239.73662,-283.53714,-94.186516,-164.45242,-186.1308,-250.98216,-310.45236
