,Reacher-v11_seed_0,Reacher-v12_seed_0,Reacher-v21_seed_0,Reacher-v22_seed_0,Reacher-v31_seed_0,Reacher-v32_seed_0,Reacher-v41_seed_0,Reacher-v42_seed_0,Reacher-v51_seed_0,Reacher-v52_seed_0,Reacher-v60_seed_0,Reacher-v61_seed_0,Reacher-v62_seed_0,Reacher-v11_seed_1,Reacher-v12_seed_1,Reacher-v21_seed_1,Reacher-v22_seed_1,Reacher-v31_seed_1,Reacher-v32_seed_1,Reacher-v41_seed_1,Reacher-v42_seed_1,Reacher-v51_seed_1,Reacher-v52_seed_1,Reacher-v60_seed_1,Reacher-v61_seed_1,Reacher-v62_seed_1,Reacher-v11_seed_2,Reacher-v12_seed_2,Reacher-v21_seed_2,Reacher-v22_seed_2,Reacher-v31_seed_2,Reacher-v32_seed_2,Reacher-v41_seed_2,Reacher-v42_seed_2,Reacher-v51_seed_2,Reacher-v52_seed_2,Reacher-v60_seed_2,Reacher-v61_seed_2,Reacher-v62_seed_2
377,-471.61398,-361.57416,-391.98264,-425.9566,-442.51004,-457.88348,-408.34503,-425.96182,-504.53265,-518.9547,-470.9701,-514.12836,-489.43463,-356.79785,-321.35913,-426.58298,-411.15872,-379.6829,-406.3797,-418.8028,-479.15668,-478.10754,-454.6525,-448.3285,-460.701,-476.41046,-456.24368,-463.17157,-459.509,-479.77927,-444.66922,-502.6008,-462.23032,-467.32327,-538.0071,-538.3042,-520.3829,-536.269,-524.2381
378,-428.08447,-362.151,-427.76404,-319.98584,-455.18085,-395.02835,-442.5944,-456.5917,-470.88287,-458.4527,-530.5978,-496.7287,-481.26788,-371.49142,-333.35663,-376.8912,-359.2729,-358.77133,-373.47745,-486.82407,-415.01157,-461.21155,-488.1824,-449.32608,-455.4792,-493.83002,-475.61,-420.85806,-440.35645,-477.50098,-499.68924,-460.02466,-474.4725,-560.3415,-527.63635,-564.8501,-533.10876,-473.7862,-569.8301
379,-344.8444,-415.16016,-370.7077,-399.90732,-465.611,-465.14334,-408.28372,-462.9356,-448.8431,-447.81442,-536.1171,-443.80383,-436.14438,-401.8099,-344.5459,-351.15607,-408.01373,-372.04382,-434.13745,-365.83368,-447.7526,-476.72702,-447.7614,-514.40314,-431.12198,-488.7021,-428.7363,-388.53302,-458.6148,-431.68637,-455.9124,-480.72995,-485.72333,-516.30176,-526.3943,-512.0918,-535.16766,-504.83313,-534.32764
380,-382.35962,-371.4465,-462.61108,-391.70868,-414.80002,-428.16324,-446.03104,-473.86356,-568.5446,-472.66385,-531.15704,-470.2785,-479.5371,-331.706,-327.7297,-397.02252,-396.67963,-441.1841,-446.37213,-386.6291,-489.68936,-455.37796,-416.07968,-478.17932,-412.60812,-469.75055,-475.3498,-470.71927,-517.0418,-521.44525,-450.56793,-489.13318,-489.67618,-541.60065,-561.25464,-486.30417,-538.0338,-563.5297,-552.847
381,-360.17432,-340.988,-424.14056,-392.1744,-425.8607,-407.34308,-467.73224,-464.1255,-503.4076,-509.5377,-489.32626,-506.29596,-480.2927,-366.8618,-365.66858,-407.6628,-369.10434,-429.1673,-384.69003,-401.92166,-435.42966,-453.9501,-481.11566,-406.1749,-456.985,-426.7274,-473.8786,-381.5204,-477.01755,-399.63635,-499.5626,-508.39978,-518.72205,-511.17056,-521.6849,-511.10132,-522.47144,-473.13458,-504.6007
382,-375.8145,-432.50647,-350.36133,-422.1683,-438.44757,-422.67856,-496.15814,-428.41992,-550.4353,-526.6196,-468.53983,-471.55026,-520.14276,-355.80756,-338.2547,-408.59076,-372.4188,-401.9843,-379.68668,-384.05762,-422.07202,-521.3162,-437.5099,-425.9281,-458.4298,-538.15393,-499.41248,-446.07855,-415.15594,-464.46594,-474.55545,-539.1729,-502.94153,-537.82623,-504.52518,-518.8677,-580.5896,-487.79517,-579.59827
383,-373.6373,-367.56995,-414.6649,-386.06094,-426.47626,-430.93472,-480.96906,-462.68658,-485.6485,-479.2652,-459.39307,-459.92902,-481.4109,-377.33725,-356.65976,-329.2522,-381.19434,-383.2225,-411.89386,-404.02145,-464.01892,-450.17,-452.4601,-453.46725,-467.27002,-440.31674,-406.78662,-461.53888,-428.35867,-465.88037,-491.2688,-551.88446,-482.20908,-523.2524,-542.61584,-566.9613,-503.21967,-516.47,-532.84045
384,-396.86597,-440.0087,-435.25067,-439.55936,-424.08374,-484.09637,-492.2856,-468.1133,-540.0922,-489.1922,-536.82806,-440.47647,-563.2569,-414.60324,-335.04947,-349.6876,-407.0789,-366.71786,-439.245,-351.51428,-426.61844,-482.5561,-425.73563,-449.52893,-412.75955,-485.76428,-489.28824,-514.7984,-459.17047,-523.9415,-469.64038,-470.3627,-542.01465,-513.5911,-500.6969,-528.9531,-653.21155,-494.25327,-540.34625
385,-436.51633,-363.71832,-441.12527,-387.63416,-434.00006,-455.837,-451.2344,-453.89572,-462.7978,-511.89056,-498.30643,-429.76782,-485.70285,-401.49393,-330.09845,-360.0339,-404.88544,-396.40338,-385.7255,-452.27155,-452.79044,-486.94287,-432.24905,-480.1007,-458.00513,-497.69836,-506.91916,-472.44675,-443.2621,-433.14017,-471.16498,-468.18494,-522.76636,-508.35727,-496.09555,-506.81717,-596.24585,-555.7525,-554.62036
386,-353.88458,-333.28516,-452.9404,-433.3405,-432.20657,-445.95035,-459.11984,-488.77487,-494.79132,-483.633,-500.68405,-449.78635,-542.155,-391.62793,-328.99985,-412.6846,-356.90332,-325.76654,-435.0544,-406.97717,-433.23462,-417.55093,-438.65076,-535.1036,-417.60498,-472.6842,-466.505,-523.30365,-479.32166,-510.34366,-481.85498,-513.8575,-481.63885,-504.06,-551.61273,-526.77716,-512.8775,-518.91754,-564.603
