,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
61,-166.7918,-207.9008,-249.65906,-254.57373,-283.80997,-161.5933,-166.68304,-203.58072,-273.36688,-309.85867,-163.08772,-224.49448,-256.01456,-293.53867,-251.96422
62,-186.32932,-224.24492,-264.39404,-325.25696,-336.91486,-152.60558,-178.1271,-222.7198,-255.66711,-272.40192,-160.44089,-234.25722,-251.46034,-240.89267,-287.40958
63,-200.71638,-214.18427,-278.08548,-285.04584,-241.68083,-136.62755,-222.23859,-217.47523,-257.83273,-289.44016,-160.10999,-178.59824,-209.41957,-233.04665,-251.81874
64,-207.20135,-231.14064,-241.43456,-259.88452,-283.9374,-149.0805,-227.81029,-231.20381,-213.20663,-277.5976,-145.56326,-195.6931,-225.28615,-258.45422,-267.26086
65,-209.8725,-236.55678,-240.26411,-277.3402,-288.70154,-136.48302,-163.44452,-205.50932,-246.37218,-227.23604,-140.13982,-193.7715,-224.99236,-288.98483,-230.25081
66,-185.9759,-193.30472,-270.64136,-271.16937,-293.0838,-154.505,-167.05,-241.1357,-234.58429,-262.38193,-156.31894,-191.41165,-264.1321,-217.48613,-269.26105
67,-184.8304,-193.39009,-256.6744,-238.64882,-295.94656,-139.76608,-226.73161,-240.43219,-276.28015,-255.2498,-167.34431,-192.39262,-241.50203,-295.89285,-253.54994
68,-175.94348,-230.17204,-257.31467,-285.37964,-287.80478,-159.67061,-169.14441,-245.57869,-219.9124,-275.66214,-150.59454,-180.44972,-249.86583,-246.52382,-261.36316
69,-174.06386,-201.5365,-272.83835,-259.25958,-344.01477,-150.50447,-217.26866,-198.51056,-250.20894,-279.06506,-175.52159,-194.27213,-207.58315,-237.80147,-277.97015
70,-182.01889,-208.6992,-274.94064,-306.2805,-311.81015,-152.80571,-174.91997,-279.6189,-252.48509,-245.66075,-104.61419,-179.24097,-266.16913,-236.73773,-270.9643
71,-177.93112,-234.77748,-220.16309,-275.242,-256.49255,-130.14024,-163.83597,-253.45384,-246.62915,-280.40704,-145.51703,-216.17064,-259.72742,-279.14987,-294.22278
72,-173.96661,-226.84595,-206.60019,-241.83794,-250.78844,-146.18655,-207.57924,-270.42807,-389.16272,-287.4735,-135.0914,-207.82086,-253.09709,-216.40474,-277.37262
73,-169.69307,-199.64822,-253.9649,-253.38736,-307.1025,-126.997246,-188.0234,-241.11345,-268.90836,-285.87735,-137.21194,-209.71239,-205.09692,-314.3243,-282.15015
74,-168.15784,-215.92293,-213.80785,-258.75095,-284.24948,-151.25108,-219.81396,-219.80325,-241.22255,-254.90495,-150.43925,-185.10191,-225.02121,-276.84442,-250.80232
75,-179.78365,-175.39357,-221.44734,-252.28758,-282.84854,-132.2892,-193.4627,-237.50441,-254.39116,-272.73563,-130.77545,-200.66617,-265.24557,-233.4245,-267.52423
76,-152.63464,-180.95203,-256.6331,-295.57178,-295.76917,-147.63283,-201.86974,-243.82207,-238.13525,-234.60576,-161.34601,-167.05481,-234.47821,-267.198,-259.0198
77,-166.47804,-154.65898,-176.957,-262.71344,-291.51797,-148.02905,-193.58862,-270.42084,-303.74527,-250.70024,-154.85806,-209.65782,-243.21347,-224.40367,-253.88354
78,-164.88968,-192.66203,-232.9337,-213.85432,-257.71716,-143.77051,-164.41252,-215.86581,-229.89554,-235.75047,-146.15161,-202.99698,-272.875,-250.16853,-255.53769
79,-167.98936,-206.05017,-258.0527,-234.18655,-318.7432,-129.7798,-228.38098,-199.55801,-250.78476,-246.17485,-143.72159,-161.57018,-234.03404,-229.78464,-244.6598
80,-150.13275,-174.11847,-235.85046,-237.66531,-236.15024,-138.47789,-146.76375,-178.60797,-265.96994,-271.75333,-132.74817,-169.08722,-165.01921,-226.26924,-216.59123
81,-155.79657,-160.18616,-179.8289,-249.32767,-242.41504,-113.57642,-240.14786,-219.24304,-255.07959,-239.43054,-155.83517,-184.43097,-244.79344,-228.31145,-251.9332
82,-144.29193,-151.196,-187.15448,-204.58324,-281.2957,-112.00736,-171.83253,-232.20285,-272.06146,-256.20016,-134.32484,-150.912,-215.44168,-280.9715,-247.00644
83,-141.35779,-165.48904,-174.21198,-207.22495,-236.70096,-130.20682,-214.58118,-277.29288,-284.76376,-309.23636,-126.435165,-153.50844,-226.24811,-251.7897,-307.44254
84,-128.36708,-196.68002,-179.91357,-223.86722,-246.42844,-126.51893,-194.20572,-198.41989,-325.7178,-251.11545,-131.88342,-179.87813,-223.5276,-269.94705,-263.33676
85,-151.97139,-138.27187,-274.018,-295.67252,-248.13104,-130.26309,-203.11574,-178.9164,-340.20078,-273.15805,-146.22554,-170.25533,-193.16328,-227.12744,-295.2173
86,-136.22964,-187.34909,-188.40263,-260.70242,-217.40688,-131.11784,-173.30865,-235.35146,-256.08307,-317.6387,-128.70508,-192.10814,-233.50812,-275.10352,-247.32338
87,-145.97412,-209.20242,-242.69144,-204.12416,-277.45868,-122.75393,-172.72298,-237.08578,-274.90097,-260.45844,-112.790924,-134.25032,-211.47287,-262.9571,-296.60947
88,-130.68658,-173.44348,-203.15662,-245.62514,-248.2335,-120.71714,-167.0046,-209.9577,-299.80417,-234.83186,-140.10788,-175.27298,-226.95735,-260.74338,-274.39597
89,-132.57082,-197.05894,-207.65105,-240.59499,-239.93703,-151.75343,-212.35683,-215.85754,-236.79837,-235.36252,-128.20468,-154.22873,-198.96707,-250.3305,-255.48122
90,-117.47597,-184.8258,-205.30399,-209.98354,-229.13745,-147.45555,-176.35678,-203.75932,-258.13013,-247.69118,-135.66669,-149.47337,-218.35648,-243.9974,-250.6621
91,-127.17256,-151.63612,-188.30972,-210.88594,-203.62418,-135.44202,-165.82953,-231.33234,-239.03317,-277.65796,-139.64584,-145.38425,-243.49533,-253.2685,-273.12402
92,-121.33613,-150.7397,-209.2597,-193.20775,-237.66043,-135.15247,-180.29977,-209.47388,-219.915,-243.84909,-132.86963,-182.42165,-247.12383,-201.97499,-259.74075
93,-116.648796,-154.5399,-268.1741,-244.28513,-268.18515,-132.6199,-199.7632,-206.85927,-214.09503,-265.64328,-127.02436,-170.99916,-199.70842,-220.49316,-236.13873
